Crop,City,Necessary_Measures
Sugarcane,Mizoram,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Tapioca,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Arhar/Tur,Nagaland,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Nagaland,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Cotton(lint),Nagaland,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Cowpea(Lobia),Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Nagaland,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Nagaland,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Nagaland,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Nagaland,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Nagaland,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Nagaland,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sunflower,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sweet potato,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tapioca,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Nagaland,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Nagaland,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Punjab,"Promote intercropping, biofertilizers, efficient irrigation."
Barley,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Punjab,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Gram,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Guar seed,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Punjab,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Punjab,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Punjab,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Urad,Punjab,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Punjab,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Telangana,"Promote intercropping, biofertilizers, efficient irrigation."
Arhar/Tur,Telangana,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Bajra,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Banana,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cashewnut,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Telangana,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Castor seed,Telangana,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Coconut ,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coriander,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Telangana,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Cowpea(Lobia),Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cowpea(Lobia),Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Dry chillies,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Dry chillies,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Telangana,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Telangana,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Telangana,"Use disease-free seeds, precision irrigation, organic manure."
Potato,Telangana,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Telangana,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Telangana,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Safflower,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Telangana,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sunflower,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sweet potato,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sweet potato,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Telangana,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
other oilseeds,Telangana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Arhar/Tur,Tripura,"Promote intercropping, biofertilizers, efficient irrigation."
Cotton(lint),Tripura,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Gram,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Tripura,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Tripura,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
